-1,72,72,62,50,30,69,78,98,28,43,56,50,21,20,75,49,72,2,76,100
-1,-1,7,45,60,58,5,78,40,53,49,57,10,22,55,5,2,40,39,47,44
-1,4,-1,3,38,34,72,23,63,62,22,55,42,5,86,65,75,27,24,99,4
-1,7,82,-1,87,56,99,54,98,26,33,8,36,80,6,64,48,19,44,75,21
-1,81,78,13,-1,15,46,97,65,24,48,94,40,35,65,90,65,64,77,65,79
-1,3,29,32,36,-1,46,45,16,39,88,39,57,25,26,4,99,96,51,20,35
-1,78,81,67,97,98,-1,8,12,31,18,9,56,73,88,10,27,14,20,59,91
-1,54,6,56,27,46,37,-1,18,27,65,56,74,60,46,54,50,92,39,25,88
-1,10,64,97,90,28,78,34,-1,80,35,72,21,70,22,12,92,60,48,84,62
-1,12,3,38,17,72,78,20,27,-1,60,12,28,69,60,29,50,5,51,67,3
-1,79,43,68,96,9,79,10,71,63,-1,20,52,41,25,74,31,53,22,65,28
-1,30,20,61,43,43,39,80,20,96,40,-1,65,19,91,56,81,18,98,49,82
-1,18,94,81,59,78,77,46,90,33,4,7,-1,87,38,8,20,3,74,70,43
-1,89,25,68,85,2,86,24,79,49,4,83,23,-1,39,49,5,49,23,33,56
-1,47,42,96,51,42,48,78,67,88,4,91,97,26,-1,54,36,80,85,5,86
-1,83,75,61,32,65,25,34,38,98,46,28,71,17,9,-1,24,48,17,41,8
-1,97,55,39,37,60,21,74,2,48,85,48,100,60,73,80,-1,95,82,83,80
-1,64,3,53,38,47,74,85,47,75,28,1,9,18,77,93,32,-1,80,23,81
-1,72,58,71,75,29,18,22,20,38,11,76,80,44,70,35,90,8,-1,40,36
-1,18,94,44,94,17,13,49,66,82,85,62,33,92,95,97,13,84,10,-1,79
-1,81,88,96,57,7,77,51,73,72,68,3,79,39,2,18,68,9,29,63,-1
